,host,url,xpath
27,https://med-tovary.ru/,https://med-tovary.ru/dinamometr-elektronnyj-ruchnoj-dmer-30-dinamometr-elektronnyj-ruchnoj-dmer-30?_openstat=bWFya2V0LnlhbmRleC5ydTvQlNC40L3QsNC80L7QvNC10YLRgCDRjdC70LXQutGC0YDQvtC90L3Ri9C5INGA0YPRh9C90L7QuSDQlNCc0K3QoC0zMDtzSjd6NjJUZ0FPOEpONEx5WTNscTN3Ow&ymclid=16087423610209819080500001,"//*[@id=""product""]/div[3]/ul/li[1]/span/span"
28,https://dimirin.ru/,https://dimirin.ru/node/235,"//*[@id=""block-bone-content""]/article/div/div[3]/div[2]"
29,https://prom-ask.ru/,https://prom-ask.ru/catalog/meditsina/med_oborudovanie/ochki-v-detskoy-oprave-drr-56-58-mm-s-linzami-v-1-dptr/,/html/body/div[2]/div[2]/div/div/div/div[2]/div[3]/div/div[1]/div/div[2]/div/div[3]/div/span/span[1]
30,https://omron.csmedica.ru/,https://omron.csmedica.ru/catalog/csmedica/mekhanicheskiye-tonometry/modeli-v-prodazhe-mekh-tonometry/cs-106/,/html/body/div[1]/div[4]/div[1]/div/div/div/div/div/div/div[1]/div[2]/div/div[2]/div/div[1]/div[1]/span
31,https://www.topzdrav-russia.ru/,https://www.topzdrav-russia.ru/products/224569389-fonendoskop_md_one_karbon_mdf777pn11_mdf_instruments,"//*[@id=""content""]/div[1]/div[2]/div/div/div[2]/div[3]/div[2]/p/i"
32,https://borabo.ru/,https://borabo.ru/fitness-accessories/rezin_access/ehspander_silovoj_shnur_rezinovyj_3_m_d_10_mm_borabo?utm_source=cpc_yandex_market&utm_medium=cpc&utm_term=1461&utm_content=1461&utm_campaign=118&ymclid=16087459458119539312900001,/html/body/div[2]/div[1]/div[3]/div/div/div[3]/div[1]/div[1]/div[2]/div[1]/div/div[2]/div
33,https://delta-fitness.ru/,https://delta-fitness.ru/products/espander-silovoy-shnur-rezinovyy-5-m-d-10-mm?_openstat=bWFya2V0LnlhbmRleC5ydTvQltCz0YPRgiDQsdC-0YDRhtC-0LLRgdC60LjQuSA1INC80LXRgtGA0L7Qsiwg0LTQuNCw0LzQtdGC0YAgMTAg0LzQvCAo0L3QsNCz0YDRg9C30LrQsCAxNSDQutCzKTtYc29sekRIdEstM3JSaHRyRm9Gb1hROw&ymclid=16087459458119539312900018,"//*[@id=""form-10051""]/div[1]/div/div/div/b"
34,https://pettown.ru/,https://pettown.ru/catalog/veterinarnaya-apteka/shpritsy-i-igly-komplekty/shprits-odnorazovyy-s-importnoy-igloy-0-6kh25mm-2ml-1sht/?r1=yandext&r2=&ymclid=16087458187834570604400006,"//*[@id=""bx_117848907_22417""]/div[2]/div/div[2]/div[1]/div[1]/div/div/span[1]/span[1]"
35,https://www.wildberries.ru/,https://www.wildberries.ru/catalog/7459129/detail.aspx?targetUrl=GP,"//*[@id=""container""]/div[2]/div/div[2]/div/div/p/span"
36,https://carcam.ru/,https://carcam.ru/product/thermometer-aiqura-ad801.html,"//*[@id=""bx_117848907_46341_price""]/span[1]"
37,https://planetazdorovo.ru/,https://planetazdorovo.ru/catalog/izdeliya-meditsinskogo-naznacheniya/grelki-kruzhki-esmarkha/grelki-461/grelka-meridian-2l-14987103/,"//*[@id=""150""]"
38,https://minimed.ru/,https://minimed.ru/product/1062/,"//*[@id=""bx_117848907_1062""]/div/div[2]/div[2]/div[2]/div/div/div/div[1]/div/div/div[1]/div[2]/div[2]"
39,https://crumble-shop.ru/,https://crumble-shop.ru/catalog/inventar/skrebki_metallicheskie/8492/?frommarket=https%3A%2F%2Fmarket.yandex.ru%2Fsearch%3Frs%3DeJwzSvKS4&ymclid=16087467815095550827200004,"//*[@id=""bx_117848907_8492""]/div[2]/div/div[2]/div[1]/div[1]/div/div/span[1]/span[1]"
40,https://dezliga.ru/,https://dezliga.ru/goods/eMKOST-KONTeJNeR-eDPO-1-01-394-260-155-mm,"//*[@id=""productBlock""]/div/form/div/div[2]/div/div/div[1]/ul[1]/li/span[1]/span/span[1]"
41,https://msk.fgoskomplekt.ru/,https://msk.fgoskomplekt.ru/catalog/oborudovanie_kabinetov/kabinet_medrabotnika/komplektaciya-kabineta-medrabotnika-po-822-prikazu/emkost-neprokalyvaemyj-kontejner-s-kryshkoj-dlya-dezinfekcii-otrabotannykh-shpricev-tamponov-ispol-zovannykh-vakcin/,"//*[@id=""bx_117848907_112906""]/div[2]/div/div[2]/div[1]/div[1]/div/div/span/span[1]"
42,https://www.deznet.ru/,https://www.deznet.ru/catalog/transportirovka_patsientov/nosilki/34013/,"//*[@id=""bx_117848907_34013""]/div[2]/div/div/div/div[1]/div[2]/div[1]/div[2]/div/div/span/span/span[1]"
43,https://medic-snab.ru/,https://medic-snab.ru/katalog-tovarov/sredstva-immobilizacii/nosilki-medicinskie/nosilki-nm-02-myagkie-s-fiksiruyuschimi-remnyami-v-sumke/,"//*[@id=""product_block""]/div[2]"
44,https://www.alltime.ru/,https://www.alltime.ru/watch/casio/HS-6-1/94145/?utm_campaign=krasnodar&utm_content=281766&utm_medium=price&utm_source=yandexmarket&utm_term=281766&ymclid=16087332347995554484000001,"//*[@id=""real_price""]/span"
45,https://firmed.ru/,https://firmed.ru/katalog/santimetrovaya-meditsinskaya-lenta,"//*[@id=""product-price-3161""]/span"
46,https://www.sima-land.ru/,https://www.sima-land.ru/4376359/medicinskie-perchatki-benovy-s-lateksnye-opudrennye-gladkie/,"//*[@id=""product""]/div/div[2]/div[1]/div/div[3]/div/div[1]/div/div[1]/div/div[1]/div[1]/span"
47,https://my-formula.ru/,https://my-formula.ru/pipetka,"//*[@id=""content""]/div/div/div[2]/div[2]/span[3]/span"
48,https://www.komus.ru/,https://www.komus.ru/katalog/otraslevye-predlozheniya/meditsina/raskhodnye-materialy-dlya-reanimatsii-i-skoroj-pomoshhi/dlya-iskusstvennoj-ventilyatsii-legkikh/vozdukhovod-polimernyj-kpi-rot-v-rot-1-4-komplekt-/p/726616/,"//*[@id=""bContainerMain""]/div[3]/div/div[3]/div/div[1]/div/div[7]/div[2]/div[2]/div[1]/form/div/div[1]/div/div/span[1]"
49,https://zdravcity.ru/,https://zdravcity.ru/p_bint-sterilnyj-klinsa-5mh10sm-vysok-plotn-0087684.html,"//*[@id=""product-new-accordion""]/div[2]/div[1]/div[2]/div[3]/div[1]/div[1]/span[1]"
50,https://www.mteh1.ru/,https://www.mteh1.ru/catalog/item/termokonteyner_tm9/,"//*[@id=""product-price""]"
51,https://www.forma-shop.ru/,https://www.forma-shop.ru/product/khalat-meditsinskiy-zhenskiy-belyy-ku-khalmzh16/,"//*[@id=""cart-form""]/div[4]/div/div[2]/div[2]/span"
52,https://saratov.pulscen.ru/,https://saratov.pulscen.ru/products/shapochka_meditsinskaya_tip_sharlotta_158142040,/html/body/div/div/div[4]/div/div[2]/div[2]/div[2]/div[3]/div/i
53,https://almamed.su/,https://almamed.su/product/sekundomer-elektronnyy-js-307-kitay/#,"//*[@id=""cart-form""]/div[2]/div/div[1]/span"
54,http://www.dealmed.ru/,http://www.dealmed.ru/apparat_dyhatelnyj_ruchnoj_vzroslyj_bez_aspiratora_adr_mp_v.html,"//*[@id=""content""]/div/div[1]/div/span/span[1]"
55,https://ump-medical.ru/,https://ump-medical.ru/products/izdelija+dlja+ruchnoy+IVL/apparat_dykhatelnyy_ruchnoy_adr_mp_v__vzroslyy_/,"//*[@id=""tab1""]/b[3]/span[1]"
56,https://www.shop.mpamed.ru/,https://www.shop.mpamed.ru/categories/diagnostic/molotochki/5058-queens-nevrologicheskiy-molotok/?utm_source=market&utm_medium=cpc&utm_campaign=market_shop&utm_content=32334&ymclid=16087421309451839412100003,"//*[@id=""good""]/div[1]/div/div[1]/div[2]/div[2]/p[3]/span[2]/span[1]"
57,https://medmebel.ru/,https://medmebel.ru/product/konteyner-edpo-3-01/,"//*[@id=""bx_117848907_11913_price""]"
58,https://plazmagrad.ru/,https://plazmagrad.ru/puzyr-dlya-lda-1-d150mm-kiyevguma-50shtupak?_openstat=bWFya2V0LnlhbmRleC5ydTvQn9GD0LfRi9GA0Ywg0LTQu9GPINC70YzQtNCwIOKEljEgZD0xNTBtbTtFN2hiUGs1MVJTMXNQX3c5NE1kYm1BOw&ymclid=16087474192440633741400001,"//*[@id=""fix_right_block""]/div/div[1]/span"
59,https://www.me-d.ru/,https://www.me-d.ru/shop/234/desc/nosilki-skladnye-ydc-1a9,"//*[@id=""content""]/div[3]/div[2]/aside/div[3]/div[3]/strong/span"
60,https://www.medcomp.ru/,https://www.medcomp.ru/catalog/product/stetoskop-kawe-rapport-fioletovyy-06-22500-092/,/html/body/div[1]/section/div/div[3]/div[3]/div[1]/div/div[1]/div/div/div[1]/div[1]/div[1]/span[1]
61,https://fortemed.ru/,https://fortemed.ru/catalog/sredstva_reabilitatsii/kostyli/kostyl_armed_fs923l/,"//*[@id=""bx_3966226736_36024""]/div[4]/div[2]"
62,https://mirorto.ru/,https://mirorto.ru/catalog/sredstva_reabilitatsii/kostyli/kostyl_loktevoy_armed_fs923l/,"//*[@id=""bx_117848907_8809""]/div[2]/div/div[2]/div/div[1]/div[1]/div[1]/div[2]/div/div/span/span[1]/span[1]"
63,https://www.med-tehnik.ru/,https://www.med-tehnik.ru/catalog/tonometry/mekhanicheskie_tonometry/tonometr_cs_medica_cs_106_mekhanicheskiy.html?utm_medium=cpc&utm_source=priceru-gmc&utm_campaign=408301532&utm_content=870647197,"//*[@id=""bx_117848907_422""]/div[2]/div/div[2]/div[1]/div[1]/div[1]/div/div/span/span[1]/span[1]"
64,https://ximiks.ru/,https://ximiks.ru/dezsredstva/kozhnie_antiseptiki/lizanol-1l-d691,"//*[@id=""formated_price""]"
65,https://voronezh.piluli.ru/,https://voronezh.piluli.ru/product516950/product_info.html,"//*[@id=""products_price""]"
66,https://shop.sanitarka.ru/,https://shop.sanitarka.ru/catalog/sudno-ladya-s-kryshkoy-9240?ymclid=16087447188936849756100004,"//*[@id=""offer_price""]"
67,https://posmagazin.ru/,https://posmagazin.ru/vesy-napolnye-meditsinskie-elektronnye-vmen-200-50/?ymclid=16087330911296326940700003,/html/body/section/div/div[1]/div/div[2]/div[1]/div[3]/form/div[2]/div[1]/div[1]/span
68,https://trives-shop.ru/,https://trives-shop.ru/catalog/t_8130_xs_bandazh_podderzhivayushchiy_dlya_ruki_posle_travmy_kosynka.html,"//*[@id=""bx_117848907_226407_price""]"
69,https://www.internet-magazin-medtehnika.ru/,https://www.internet-magazin-medtehnika.ru/products/193266680-detski_bandazh_na_plechevoy_sustav_kosynka_t_8130_razmer_khkhkhs,"//*[@id=""content""]/div[1]/div[2]/div/div/div[2]/div[3]/div[3]/p/i"
70,https://nabchelny.ortomir24.ru/,https://nabchelny.ortomir24.ru/detskiy_bandazh_na_kolennyy_sustav_s_pruzhinnymi_rebrami_zhestkosti_t_8530_trives,"//*[@id=""bx_117848907_54731_price""]"
71,http://foodcity-pro.ru/,http://foodcity-pro.ru/catalog/product-174195.html,"//*[@id=""catalog-element""]/div/div[3]/div[2]/span/span"
72,https://yandex.ua/,https://yandex.ua/turbo/medcomp.ru/s/catalog/product/sterilizator-vozdushnyy-gp-40-spu/?parent-reqid=1608745720986348-920745431087982424900098-production-app-host-man-web-yp-108&trbsrc=wb&fallback=1&event-id=kj1pouetue&new_overlay=1,"//*[@id=""root""]/div/div[2]/div[2]/div[2]/div/span/span"
73,https://dealmed.fis.ru/,https://dealmed.fis.ru/product/33191282-voronka-hartmann-voronka-ushnaya-1-39-100-1-sammar-pakistan,"//*[@id=""product""]/div[3]/div[1]/p[2]/span[1]"
74,http://www.kolechko.ru/,http://www.kolechko.ru/product/zazhim-s-atravmaticheskoj-narezkoj-izognutyj-160-mm-debakey/,"//*[@id=""product_price""]"
75,https://med-instrumenti.ru/,https://med-instrumenti.ru/products/pincet-anatomicheskiy-glaznoy-izognutyy-100-0-6-mm,"//*[@id=""cost-by-impact""]/span"
76,https://medtehnika-sto.ru/,https://medtehnika-sto.ru/catalog/medicinskie-instrumenty/hirurgiya/p-43-140-rotorasshiritel-s-kremaleroj.html,"//*[@id=""content""]/section[2]/div/section/article/div/div/div[1]/div[2]/div/div[2]/div/div/span[1]"
77,http://www.xn----8sbcehcdb0aagrvshjcbb2bn6c3cyo.xn--p1ai/,http://www.xn----8sbcehcdb0aagrvshjcbb2bn6c3cyo.xn--p1ai/catalog/instrumenty/skalpeli_nozhi_lozhki/skalpeli_odnorazovye/skalpel_s_plastmassovoy_ruchkoy_g23_bryushistyy_malyy_sterilnyy.html,"//*[@id=""smallElementTools""]/div/div[1]/a/span/span[1]"
78,https://sanamedical.ru/,https://sanamedical.ru/catalog/shpriczyi-odnorazovyie/shpriczyi-odnorazovyie-importnogo-proizvodstva/shpricz-odnorazovyij-5-ml-3-x-komponentnyij-22g-07*40,"//*[@id=""info""]/div[1]/div[1]/p[2]/b"
79,https://price-pro.ru/,https://price-pro.ru/product/shpric-insulinovyy-1-ml-s-igloy-0-45-10-mm-26g-2-5/,"//*[@id=""cart-form""]/div[4]/div/div[1]/span"
80,https://rusprommeb.ru/,https://rusprommeb.ru/proizvodstvennaya-mebel/lari-dlya-belya/lar-dlya-belya-lb-1k,"//*[@id=""product""]/div[3]/ul/li[1]/span"
81,https://i-f.su/,https://i-f.su/katalog-produktsii/meditsinskoe-osnashchenie/meditsinskaya-mebel/lari-dlya-belya/lar-dlya-belya-lb-1k-detail,"//*[@id=""productPrice2397""]/div/span"
82,http://www.dm-lider.ru/,http://www.dm-lider.ru/?cat=22200&it=6240200,"//*[@id=""View_cost""]"
83,https://market.otc.ru/,https://market.otc.ru/Product/Index/190270,/html/body/div[4]/div/div/div/div[5]/div[1]/div[1]/div/div[1]/div[1]/div[1]/div/div
84,https://tandem-med.ru/,https://tandem-med.ru/product/obluchatel-retsirkulyator-orub-01-kront-dezar-7,"//*[@id=""product-price""]/span[1]"
85,https://54-med.ru/,https://54-med.ru/p70866327-edpo-kontejner-dlya.html?ymclid=16087255893919057128300002,/html/body/div[4]/div[1]/div/div[4]/div[1]/div/div[2]/div[1]/div[1]/div/p/span[1]
86,https://medpribori.ru/,https://medpribori.ru/cat/products/diagnosticheskoe-oborudovanie/plantograf-detskij-v-komplekte,"//*[@id=""bx_117848907_15368""]/div[2]/div/div[2]/div[1]/div[1]/div[2]/div/div/span/span[1]/span[1]"
87,http://med-sumka.ru/,http://med-sumka.ru/%D0%9000155,"//*[@id=""product""]/div[3]/ul/li[1]/span"
88,https://eurosmed.ru/,https://eurosmed.ru/products/stellazh-msz-zakrytyj-s-dvermi-kupes-raspashnoj-dvertsej,"//*[@id=""mng""]/div/div/div[1]/div[3]/div[1]/span"
